	eng	lines	label
432	Why, what should be the fear? I do not set my life at a pin's fee; And for my soul, what can it do to that, Being a thing immortal as itself?   It waves me forth again. I'll follow it.	为什么，有什么可怕的。我把这生命看得不值一根针；至于我的灵魂，既然也是不灭的，跟它一模一样，它又能奈何它？它还在招呼我去；我要跟它走。	SDY
158	And you yourself shall keep the key of it.	你自己就把钥匙收下来保管吧。	BZL
563	Sir, my good friend- I'll change that name with you. And what make you from Wittenberg, Horatio? Marcellus?	不，你是我的好朋友；我愿意和你朋友相称。你怎么不在维滕贝格，霍拉旭？马西勒斯！	ZSH
441	Have after. To what issue wail this come?	跟上去。——这可要弄成什么结局？	SDY
43	See, it stalks away!	看，大踏步走了！	BZL
612	I will watch to-night. Perchance 'twill walk again.	我今晚也要守夜去；也许它还会出来。	ZSH
271	Last night of all, When yond same star that's westward from the pole Had made his course t' illume that part of heaven Where now it burns, Marcellus and myself, The bell then beating one-	就在昨天夜里，那时节北极星西首的那颗星儿正好行过去照耀西天的那一方，它如今正在那边亮，马帅勒史和我，刚正敲一点钟——	SDY
182	Ay, marry, is't; But to my mind, though I am native here   And to the manner born, it is a custom More honour'd in the breach than the observance. This heavy-headed revel east and west Makes us traduc'd and tax'd of other nations; They clip us drunkards and with swinish phrase Soil our addition; and indeed it takes From our achievements, though perform'd at height, The pith and marrow of our attribute. So oft it chances in particular men That, for some vicious mole of nature in them, As in their birth,- wherein they are not guilty, Since nature cannot choose his origin,- By the o'ergrowth of some complexion, Oft breaking down the pales and forts of reason, Or by some habit that too much o'erleavens The form of plausive manners, that these men Carrying, I say, the stamp of one defect, Being nature's livery, or fortune's star, Their virtues else- be they as pure as grace, As infinite as man may undergo-   Shall in the general censure take corruption From that particular fault. The dram of e'il Doth all the noble substance often dout To his own scandal.	嗯，是的；可是我虽然在这里从小看惯了，却以为这一种风俗，与其遵守它不如破坏它倒来得体面一点。这样的酗酒纵乐使我们受够了东西各国纷纷的议论和低毁；他们叫我们酒鬼，用瘟猪一类话糟蹋了我们的名号：这一种行径也真要抵消了我们的丰功伟业，至少使我们失去了荣誉的精髓了。就个人说来情形也往往如此，有些人品性上有一点小小的暇疵，或者是天生的（那也怪不得他们，因为天性并不能自己作主），或者是由于某一种特殊的气质过分发展到超出了理性的范围，或者是由于养成了一种习惯，过分要一举一动都讨人喜欢，这些人就带了一种缺点的烙印（天然的符号或者是命运的标记），使他们另外的品质（尽管圣桔，尽管多到一个人担当不了，）也就不免在一般的非议中沾染了这个缺点的溃烂症。一点点毛病往往就抵消了一切高贵的品质，害得人声名狼藉。	BZL
250	Not a mouse stirring.	耗子也没有走动。	SDY
475	He.	正是。	ZSH
543	Have you your father's leave? What says Polonius?	你父亲已经答应你了吗？波洛尼厄斯怎么说？	ZSH
557	Why, 'tis a loving and a fair reply. Be as ourself in Denmark. Madam, come. This gentle and unforc'd accord of Hamlet Sits smiling to my heart; in grace whereof, No jocund health that Denmark drinks to-day But the great cannon to the clouds shall tell, And the King's rouse the heaven shall bruit again, Respeaking earthly thunder. Come away.	啊，那才是一句有孝心的答复；你将在丹麦享有和我同等的尊荣。御妻，来。哈姆雷特这一种自动的顺从使我非常高兴；为了表示庆祝，今天丹麦王每一次举杯祝饮的时候，都要放一响高入云霄的祝炮，让上天应和着地上的雷鸣，发出欢乐的回声。来。[除哈姆雷特外均下]	ZSH
530	We do it wrong, being so majestical, To offer it the show of violence; For it is as the air, invulnerable, And our vain blows malicious mockery.	它走了！我们不该用暴力对待这样一个尊严的亡魂；因为它是像空气一样不可侵害的。我们无益的打击不过是恶意的徒劳。	ZSH
396	Farewell, Ophelia, and remember well What I have said to you.	再会了，莪斐丽亚；要好好记住我对你说的话。	SDY
622	For Hamlet, and the trifling of his favour, Hold it a fashion, and a toy in blood; A violet in the youth of primy nature, Forward, not permanent- sweet, not lasting; The perfume and suppliance of a minute; No more.	对于哈姆雷特和他的调情献媚，你必须把它认作年轻人一时的感情冲动，一朵初春的紫罗兰，早熟而易凋，馥郁而不能持久，一分钟的芬芳和喜悦，如此而已。	ZSH
349	My lord, the King your father.	见到殿下的父王。	SDY
245	He.	正是。	SDY
90	Hail to your lordship!	请殿下福安！	BZL
116	Did you not speak to it?	你没有对它说话吗？	BZL
352	For God's love let me hear!	上帝舍仁慈，让我听。	SDY
328	Why, 'tis a loving and a fair reply. Be as ourself in Denmark. Madam, come. This gentle and unforc'd accord of Hamlet Sits smiling to my heart; in grace whereof, No jocund health that Denmark drinks to-day But the great cannon to the clouds shall tell, And the King's rouse the heaven shall bruit again, Respeaking earthly thunder. Come away.	哎也，这是个亲和、美好的回答：在丹麦跟我们一个样。来吧，贤妻；哈姆雷特这一下允诺，和蔼而语出衷肠，对着我的心在微笑；为表示祝贺，今天丹麦王每一觞欢饮都要有大炮向云天报响，天上将遍传地上君王的畅饮，一声声应和着地上的宏雷。去来。	SDY
376	It was, as I have seen it in his life, A sable silver'd.	正如我见到他生前那样，玄色里夹些银丝。	SDY
433	What if it tempt you toward the flood, my lord, Or to the dreadful summit of the cliff That beetles o'er his base into the sea, And there assume some other, horrible form Which might deprive your sovereignty of reason And draw you into madness? Think of it. The very place puts toys of desperation, Without more motive, into every brain That looks so many fadoms to the sea And hears it roar beneath.	它引您去到了海里怎么办，殿下，或者去登上可怕的悬崖绝顶，孤悬的岩壁俯瞰着碧深深的海，那里它露出另一副骇人的形相，那也许就会夺去您理智的均衡，使您发疯，那又怎么办？想一下；没有其他的因由，那地方本身就会叫人起浑不顾一切的怪想，只要他俯对那么多噚下的海水，听它在下面呼啸。	SDY
538	Though yet of Hamlet our dear brother's death The memory be green, and that it us befitted To bear our hearts in grief, and our whole kingdom To be contracted in one brow of woe, Yet so far hath discretion fought with nature That we with wisest sorrow think on him Together with remembrance of ourselves. Therefore our sometime sister, now our queen, Th' imperial jointress to this warlike state, Have we, as 'twere with a defeated joy, With an auspicious, and a dropping eye, With mirth in funeral, and with dirge in marriage, In equal scale weighing delight and dole, Taken to wife; nor have we herein barr'd Your better wisdoms, which have freely gone   With this affair along. For all, our thanks. Now follows, that you know, young Fortinbras, Holding a weak supposal of our worth, Or thinking by our late dear brother's death Our state to be disjoint and out of frame, Colleagued with this dream of his advantage, He hath not fail'd to pester us with message Importing the surrender of those lands Lost by his father, with all bands of law, To our most valiant brother. So much for him. Now for ourself and for this time of meeting. Thus much the business is: we have here writ To Norway, uncle of young Fortinbras, Who, impotent and bedrid, scarcely hears Of this his nephew's purpose, to suppress His further gait herein, in that the levies, The lists, and full proportions are all made Out of his subject; and we here dispatch You, good Cornelius, and you, Voltemand, For bearers of this greeting to old Norway,   Giving to you no further personal power To business with the King, more than the scope Of these dilated articles allow.            [Gives a paper.] Farewell, and let your haste commend your duty.	虽然我们亲爱的王兄哈姆雷特新丧未久，我们的心里应当充满了悲痛，我们全国都应当表示一致的哀悼，可是我们凛于后死者责任的重大，不能不违情逆性，一方面固然要用适度的悲哀纪念他，一方面也要为自身的利害着想；所以，在一种悲喜交集的情绪之下，让幸福和忧郁分据了我的两眼，殡葬的挽歌和结婚的笙乐同时并奏，用盛大的喜乐抵消沉重的不幸，我已经和我旧日的长嫂，当今的王后，这一个多事之国的共同的统治者，结为夫妇；这一次婚姻事先曾经征求各位的意见，多承你们诚意的赞助，这是我必须向大家致谢的。现在我要让你们知道，年轻的福丁布拉斯看轻了我们的实力，也许他以为自从我们亲爱的王兄驾崩以后，我们的国家已经瓦解，所以挟着他的从中取利的梦想，不断向我们书画要求把他的父亲依法割让给我们英勇的王兄的土地归还。这是他一方面的话。现在要讲到我们的态度和今天召集各位来此的目的。我们的对策是这样的：我这儿已经写好了一封信给挪威国王，年轻的福丁布拉斯的叔父，他因为卧病在床，不曾与闻他侄子的企图，在信里我请他注意他的侄子擅自在国内征募壮丁，训练士卒，积极进行各种准备的事实，要求他从速制止他的进一步的行动；现在我就派遣你，考尼律斯，还有你，伏提曼德，替我把这封信送给挪威老王，除了训令上所规定的条件以外，你们不得僭用你们的权力，和挪威成立逾越范围的妥协。你们赶紧就去吧，再会！	ZSH
307	Exeunt.	[同下。	SDY
483	Enter Horatio and Marcellus.	霍拉旭及马西勒斯上。	ZSH
226	O all you host of heaven! O earth! What else? And shall I couple hell? Hold, hold, my heart! And you, my sinews, grow not instant old, But bear me stiffly up. Remember thee? Ay, thou poor ghost, while memory holds a seat In this distracted globe. Remember thee? Yea, from the table of my memory I'll wipe away all trivial fond records, All saws of books, all forms, all pressures past That youth and observation copied there, And thy commandment all alone shall live Within the book and volume of my brain, Unmix'd with baser matter. Yes, by heaven! O most pernicious woman! O villain, villain, smiling, damned villain! My tables! Meet it is I set it down That one may smile, and smile, and be a villain; At least I am sure it may be so in Denmark.        [Writes.] So, uncle, there you are. Now to my word: It is 'Adieu, adieu! Remember me.'   I have sworn't.	天兵神将啊！天神地祗啊！还有呢？加上地狱的凶煞吗？硬起来，我的心！全身的筋络不要一下子都松了，要把我直挺挺支撑起来！记着你？ 一定的，只要这一颗错乱的脑瓜里还有记忆，可怜的阴魂！记着你？一定的，我要从记忆的象牙简版面上擦干净一切琐屑无聊的记录，一切抄来的格言，一切心得，年少好奇留下的一切印象，只让你对我提出的这一个训令单独留在我头脑的书卷当中，不掺杂下贱的东西；请上天作证罢！啊，恶毒不过的女人！啊，笑嘻嘻、万恶不赦的恶汉！我的记事本！我该把这一点记下来：一个人笑嘻嘻，笑嘻嘻，却是个恶汉；至少我相信在丹麦的确会如此。（书写。得，叔父，你看吧。我的标语呢？那就是这一句“再见，再见！记着我”。我发了誓了。	BZL
132	It would have much amaz'd you.	殿下在场一定会大吃一惊。	BZL
603	Most constantly.	它直盯着我瞧。	ZSH
505	Most like. It harrows me with fear and wonder.	像得很，它使我心里充满了恐怖和惊奇。	ZSH
93	The same, my lord, and your poor servant ever.	是，正是殿下永远的忠仆。	BZL
30	And let us once again assail your ears, That are so fortified against our story, What we two nights have seen.	我们的故事你听来只当是耳边风；我们再讲讲两夜里看见的光景，偏叫你听进去。	BZL
620	My necessaries are embark'd. Farewell. And, sister, as the winds give benefit And convoy is assistant, do not sleep, But let me hear from you.	我需要的物件已经装在船上，再会了；妹妹，在好风给人方便、船只来往无阻的时候，不要贪睡，让我听见你的消息。	ZSH
477	Tis now struck twelve. Get thee to bed, Francisco.	现在已经打过十二点钟；你去睡吧，弗兰西斯科。	ZSH
438	My fate cries out And makes each petty artire in this body As hardy as the Nemean lion's nerve.[Ghost beckons.]   Still am I call'd. Unhand me, gentlemen. By heaven, I'll make a ghost of him that lets me!- I say, away!- Go on. I'll follow thee.Exeunt Ghost and Hamlet.	我的命运在叫唤，它使我身上每一根细小的血管都跟尼弥亚狮子的筋腱一般坚。它还在叫我。你们放开手，士子们，天在上，谁要拦阻我，我叫他变鬼；我说，走开！——走吧；我就跟你去。	SDY
181	Is it a custom?	这可是向来的风俗？	BZL
400	So please you, something touching the Lord Hamlet. 	回父亲，是有关哈姆雷特殿下的。	SDY
450	My hour is almost come, When I to sulph'rous and tormenting flames Must render up myself.	我的时间快到了，就要回去委身到硫磺烈焰里去经受煎熬。	SDY
140	If it assume my noble father's person, I'll speak to it, though hell itself should gape And bid me hold my peace. I pray you all, If you have hitherto conceal'd this sight, Let it be tenable in your silence still; And whatsoever else shall hap to-night, Give it an understanding but no tongue. I will requite your loves. So, fare you well. Upon the platform, 'twixt eleven and twelve, I'll visit you.	如果它出现，再借我父王的形貌，哪怕是地狱张开嘴叫我别作声，我还是要对它说话。我请求你们，要是至今还没有把这件事外传，就让它仍然封锁在你们的沉默里：无论今晚上再发生别的什么事，请也就让心中有数，嘴上不说。我会报答你们的情谊。再见吧。就在平台上，十一点十二点之间，我来找你们。	BZL
322	If it be, Why seems it so particular with thee?	假使很平常，为什么你看来好像那么样特殊？	SDY
539	In that, and all things, will we show our duty.	我们不敢不尽力执行陛下的旨意。	ZSH
447	Whither wilt thou lead me? Speak! I'll go no further.	你要领我到哪里去？说；我不走了。	SDY
